Country,Stock,Year,D1
Argentina,CRESUD (~U$),2007,0.081635756943536
Argentina,CRESUD (~U$),2008,0.1724456749254891
Argentina,CRESUD (~U$),2009,0.0349528244063789
Argentina,CRESUD (~U$),2010,0.0229423762493133
Argentina,CRESUD (~U$),2011,0.082560452094482
Argentina,CRESUD (~U$),2012,0.3142139012489444
Argentina,CRESUD (~U$),2013,0.0104248316410116
Argentina,CRESUD (~U$),2014,0.0425599033953234
Argentina,CRESUD (~U$),2015,0.0507834629739452
Argentina,CRESUD (~U$),2016,0.0809386923811131
Argentina,CRESUD (~U$),2017,0.0251343695437709
Argentina,CRESUD (~U$),2018,0.0594638672335962
Argentina,CRESUD (~U$),2019,0.0476880982175086
Argentina,CRESUD (~U$),2020,0.4111075715704207
Argentina,CRESUD (~U$),2021,0.2051220194601442
Argentina,CRESUD (~U$),2022,0.0326810702824641
Argentina,DIST GAS CUYANA (~U$),2001,0.5137940093142397
Argentina,DIST GAS CUYANA (~U$),2002,0.2906025672993334
Argentina,DIST GAS CUYANA (~U$),2003,0.0622209831341876
Argentina,DIST GAS CUYANA (~U$),2004,0.0200229859003193
Argentina,DIST GAS CUYANA (~U$),2005,0.3605624699630803
Argentina,DIST GAS CUYANA (~U$),2006,0.2528696604211893
Argentina,DIST GAS CUYANA (~U$),2007,0.4040454861492614
