#NAME?,NIKKEI 225 STOCK AVERAGE - PRICE INDEX,MSCI JAPAN - PRICE INDEX,TOPIX - PRICE INDEX,MSCI HONG KONG - PRICE INDEX,S&P HONG KONG BMI - PRICE INDEX,HANG SENG - PRICE INDEX,KOREA SE KOSPI 200 - PRICE INDEX,MSCI KOREA - PRICE INDEX,KOREA SE COMPOSITE (KOSPI) - PRICE INDEX
1/25/2000,178.54,9.196,15.43,1075.3,29.215,1941.36,0.1,0.191,0.79
1/26/2000,180.42,9.327,15.71,1101.54,29.874,1982.99,0.1,0.191,0.79
1/27/2000,182.96,9.47,16.06,1128.269,30.599,2045.99,0.1,0.196,0.81
1/28/2000,183.92,9.544,16.11,1137.018,30.968,2080.39,0.11,0.203,0.84
1/31/2000,182.54,9.471,15.96,1095.06,29.955,1996.3,0.11,0.202,0.84
2/1/2000,180.01,9.319,15.73,1104.058,30.235,2011.97,0.1,0.198,0.82
2/2/2000,180.59,9.375,15.79,1117.703,30.669,2029.48,0.1,0.2,0.83
2/3/2000,182.88,9.526,15.98,1115.252,30.934,2052.26,0.11,0.201,0.84
2/4/2000,184.13,9.702,16.22,1115.278,30.926,2052.31,0.11,0.201,0.84
2/7/2000,184,9.642,16.19,1115.225,30.924,2052.21,0.11,0.203,0.86
2/8/2000,181.53,9.437,15.87,1102.499,31.192,2085.75,0.11,0.202,0.85
2/9/2000,183.26,9.531,16.01,1134.836,32.207,2161.72,0.11,0.205,0.87
2/10/2000,181.63,9.518,15.94,1146.96,32.37,2164.88,0.11,0.203,0.86
2/11/2000,180.97,9.483,15.88,1215.886,33.599,2233.51,0.11,0.2,0.85
2/14/2000,179.92,9.445,15.8,1201.679,32.758,2209.29,0.1,0.188,0.81
2/15/2000,178.14,9.255,15.55,1157.687,32.052,2144.87,0.1,0.182,0.78
2/16/2000,178.97,9.192,15.44,1186.732,32.561,2190.3,0.1,0.182,0.78
2/17/2000,179.35,9.292,15.56,1188.827,32.448,2182.28,0.1,0.188,0.8
2/18/2000,178.61,9.267,15.52,1166.807,31.854,2133.35,0.1,0.183,0.78
2/21/2000,175.52,9.022,15.09,1147.892,31.289,2097.55,0.09,0.177,0.75
2/22/2000,175.25,8.909,14.86,1127.229,30.859,2088.78,0.09,0.176,0.75
2/23/2000,175.69,8.951,15.01,1138.099,31.23,2104.31,0.1,0.182,0.78
2/24/2000,176.26,9.041,15.22,1176.183,32.188,2191.92,0.1,0.178,0.76
2/25/2000,178.62,9.203,15.54,1175.531,32.234,2210.18,0.1,0.179,0.76
2/28/2000,180.93,9.311,15.86,1143.335,31.497,2182.42,0.09,0.17,0.72
2/29/2000,181.69,9.221,15.65,1157.081,31.917,2206.08,0.09,0.173,0.73
3/1/2000,186.77,9.463,16.05,1126.32,31.376,2164.29,0.09,0.174,0.73
3/2/2000,186.31,9.41,15.96,1121.628,31.587,2176.29,0.1,0.19,0.8
3/3/2000,185.24,9.286,15.68,1147.703,32.298,2220.94,0.1,0.188,0.8
3/6/2000,184.01,9.105,15.34,1187.774,33.496,2281.65,0.1,0.19,0.81
3/7/2000,186.77,9.3,15.6,1204.318,33.844,2295.23,0.1,0.189,0.81
3/8/2000,184.85,9.241,15.53,1219.146,34.034,2306.16,0.1,0.192,0.82
3/9/2000,185.1,9.196,15.47,1207.563,33.593,2265.75,0.1,0.183,0.79
3/10/2000,185.75,9.178,15.36,1230.973,34.002,2290.71,0.1,0.185,0.8
3/13/2000,182.14,8.928,14.79,1192.627,32.826,2196.35,0.09,0.176,0.76
3/14/2000,182.36,8.97,15.07,1164.51,32.293,2174.82,0.09,0.175,0.76
3/15/2000,180.95,8.942,15.23,1153.528,32.046,2151.35,0.09,0.173,0.75
3/16/2000,182.26,9.17,15.58,1127.473,31.245,2101.5,0.09,0.175,0.75
3/17/2000,184.41,9.265,15.78,1165.563,32.35,2194.46,0.1,0.18,0.77
3/20/2000,183.57,9.223,15.71,1151.388,32.405,2213.64,0.09,0.18,0.76
3/21/2000,183.38,9.225,15.65,1149.848,32.351,2209.27,0.1,0.185,0.77
3/22/2000,184.53,9.122,15.51,1167.08,32.771,2253.78,0.1,0.19,0.79
3/23/2000,183.36,9.103,15.37,1191.809,33.245,2275,0.1,0.187,0.78
3/24/2000,186.31,9.129,15.31,1201.116,33.46,2284.67,0.1,0.195,0.8
3/27/2000,189.91,9.267,15.49,1225.961,34.279,2349.82,0.1,0.195,0.8
3/28/2000,192.28,9.508,15.86,1227.759,34.404,2350.95,0.1,0.198,0.8
3/29/2000,196.17,9.84,16.42,1216.679,34.2,2324.21,0.1,0.206,0.82
3/30/2000,194.09,9.726,16.26,1193.3,33.338,2243.29,0.1,0.2,0.8
3/31/2000,198.29,9.978,16.63,1185.709,33.075,2235.48,0.1,0.193,0.78
4/3/2000,197.83,9.954,16.54,1152.856,32.093,2169.38,0.1,0.193,0.76
4/4/2000,194.89,9.821,16.22,1152.919,32.104,2169.5,0.09,0.19,0.75
4/5/2000,194.66,9.764,16.12,1124.743,30.959,2095.79,0.09,0.189,0.72
4/6/2000,192.88,9.602,15.81,1137.64,31.373,2117.88,0.09,0.184,0.72
4/7/2000,192.22,9.593,15.92,1144.185,32.076,2175.55,0.1,0.193,0.76
4/10/2000,193.12,9.657,16.08,1150.194,32.047,2163.99,0.1,0.2,0.78
4/11/2000,191.87,9.6,15.9,1127.367,31.39,2117.37,0.1,0.197,0.77
4/12/2000,196.73,9.741,16.11,1151.461,31.678,2128.65,0.1,0.192,0.76
4/13/2000,193.82,9.537,15.71,1121.632,31.139,2099.78,0.1,0.193,0.76
4/14/2000,194.88,9.557,15.77,1112.69,30.844,2072.79,0.09,0.184,0.72
4/17/2000,182.34,9.066,14.89,1016.659,27.99,1895.59,0.08,0.163,0.64
4/18/2000,181.75,9.257,15.3,1044.39,28.969,1961.72,0.08,0.175,0.67
4/19/2000,182.52,9.329,15.49,1043.73,29.009,1980.82,0.09,0.176,0.68
4/20/2000,179.93,9.334,15.46,1041.865,28.971,1973.02,0.09,0.176,0.69
